file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator\src\main\java\org\springframework\boot\actuate\endpoint\web\reactive\AbstractWebFluxEndpointHandlerMapping.java,org.springframework.boot.actuate.endpoint.web.reactive.AbstractWebFluxEndpointHandlerMapping$ExceptionCapturingInvoker,innerclass,2,2,0,2,3,1,0,2,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,14,2,0,0,1,0,0,0,1,0,1,1,0,0,0,11,28,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-docker-compose\src\test\java\org\springframework\boot\docker\compose\service\connection\jdbc\JdbcUrlBuilderTests.java,org.springframework.boot.docker.compose.service.connection.jdbc.JdbcUrlBuilderTests,class,5,6,1,5,8,1,0,19,16,0.5,0.4,0.4,8,0,0,2,0,6,6,0,0,0,1,0,0,1,0,0,0,0,3,46,2,0,0,0,0,17,8,11,0,11,0,1,0,2,52,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\mustache\MustacheTemplateAvailabilityProvider.java,org.springframework.boot.autoconfigure.mustache.MustacheTemplateAvailabilityProvider,class,3,3,0,3,2,1,0,4,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,3,0,2,1,2,1,0,0,0,24,1,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\main\java\org\springframework\boot\actuate\autoconfigure\cloudfoundry\CloudFoundryEndpointFilter.java,org.springframework.boot.actuate.autoconfigure.cloudfoundry.CloudFoundryEndpointFilter,class,2,4,2,2,1,2,0,0,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-test\src\test\java\org\springframework\boot\test\context\ImportsContextCustomizerTests.java,org.springframework.boot.test.context.ImportsContextCustomizerTests$MultipleImportAnnotationTestClass,innerclass,3,3,0,3,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-test\src\main\java\org\springframework\boot\test\util\TestPropertyValues.java,org.springframework.boot.test.util.TestPropertyValues$Pair,innerclass,1,1,0,1,13,1,0,11,3,0.33333334,0.16666667,0.16666667,6,4,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,4,38,7,0,3,0,3,2,6,7,1,7,1,0,0,0,35,25,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-tools\spring-boot-buildpack-platform\src\main\java\org\springframework\boot\buildpack\platform\docker\type\ContainerContent.java,org.springframework.boot.buildpack.platform.docker.type.ContainerContent,interface,3,9,6,3,4,1,0,3,6,0,0,0,4,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,3,0,0,0,0,0,1,0,0,37,1,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-test\src\test\java\org\springframework\boot\test\context\SpringBootTestWithTestPropertySourceTests.java,org.springframework.boot.test.context.SpringBootTestWithTestPropertySourceTests$Config,innerclass,4,4,0,4,1,1,0,0,0,1,NaN,NaN,1,1,0,0,0,1,1,0,0,0,6,0,0,6,0,0,0,0,0,11,1,0,0,0,0,6,0,0,0,6,0,0,0,0,24,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator\src\main\java\org\springframework\boot\actuate\web\mappings\servlet\DispatcherServletHandlerMappings.java,org.springframework.boot.actuate.web.mappings.servlet.DispatcherServletHandlerMappings$TomcatServletInitializer,innerclass,5,5,0,5,6,1,0,13,4,0.5,NaN,NaN,4,0,0,3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,22,1,0,0,1,0,0,0,2,0,3,2,0,0,1,17,26,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\test\java\org\springframework\boot\actuate\autoconfigure\logging\opentelemetry\OpenTelemetryLoggingAutoConfigurationTests.java,org.springframework.boot.actuate.autoconfigure.logging.opentelemetry.OpenTelemetryLoggingAutoConfigurationTests$NoopLogRecordProcessor,innerclass,3,3,0,3,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-docs\src\main\java\org\springframework\boot\docs\features\ssl\bundles\MyComponent.java,org.springframework.boot.docs.features.ssl.bundles.MyComponent,class,3,3,0,3,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,2,0,2,0,0,0,0,9,1,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\liquibase\LiquibaseAutoConfigurationTests.java,org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfigurationTests$JdbcConnectionDetailsConfiguration$Anonymous1,anonymous,0,0,0,0,3,1,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,6,-1,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\jdbc\DataSourceAutoConfigurationTests.java,org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfigurationTests,class,23,24,1,23,27,4,0,54,111,0.4074074,0.38043478,0.38043478,27,1,0,3,0,24,24,0,0,0,1,0,0,1,0,0,1,0,10,194,1,0,0,0,0,53,0,12,5,37,2,0,4,26,144,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-docs\src\main\java\org\springframework\boot\docs\features\springapplication\applicationavailability\managing\MyReadinessStateExporter.java,org.springframework.boot.docs.features.springapplication.applicationavailability.managing.MyReadinessStateExporter,class,3,3,0,3,3,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator\src\main\java\org\springframework\boot\actuate\health\NamedContributor.java,org.springframework.boot.actuate.health.NamedContributor$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\AutoConfigurationImportSelectorIntegrationTests.java,org.springframework.boot.autoconfigure.AutoConfigurationImportSelectorIntegrationTests$AnotherConfig,innerclass,3,3,0,3,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\test\java\org\springframework\boot\actuate\autoconfigure\metrics\LogbackMetricsAutoConfigurationTests.java,org.springframework.boot.actuate.autoconfigure.metrics.LogbackMetricsAutoConfigurationTests,class,7,7,0,7,2,1,0,9,0,0,1,1,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,2,14,0,0,0,0,0,1,0,1,0,3,0,0,1,2,22,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\data\mongo\MixedMongoRepositoriesAutoConfigurationTests.java,org.springframework.boot.autoconfigure.data.mongo.MixedMongoRepositoriesAutoConfigurationTests$BaseConfiguration,innerclass,3,3,0,3,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator\src\main\java\org\springframework\boot\actuate\web\exchanges\HttpExchange.java,org.springframework.boot.actuate.web.exchanges.HttpExchange$HeadersFilter,innerclass,1,1,0,1,6,1,0,7,0,0.11111111,1,1,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,3,0,1,28,2,0,0,0,0,0,0,4,0,6,2,0,0,1,17,10,0
